Area KmSq,Perimeter m,Latitude,Longitude,ID,Town,Tree Count,Ash,Atlantic white cedar,Basswood,Beech,Birch,Black gum/sweet gum,Cedar/juniper,Cherry,Chestnut,Dogwood,Elm,Fir,Hemlock,Hickory,Ironwood,Maple,Oak,Other hardwood,Pine,Poplar,Tulip poplar,Spruce,Sycamore,Tamarack,Walnut
253.552,74808.70175,43.35,-70.59,105,WellsME,104,5,0,0,0,4,0,0,0,0,0,1,0,5,0,0,6,27,0,51,5,0,0,0,0,0
116.023,58649.99457,43.42,-70.49,106,Arundel,211,6,0,0,19,17,0,0,0,0,0,2,0,9,0,0,23,64,0,61,3,0,7,0,0,0
202.108,78311.62744,43.51,-70.44,107,Saco,131,1,0,0,4,5,0,0,0,0,0,1,1,5,1,0,9,60,2,39,2,0,1,0,0,0
237.373,112502.1018,43.695,-70.2987,108,Falmouth,594,24,0,0,11,38,1,0,2,0,0,5,5,47,2,3,58,225,6,135,15,0,13,0,4,0
75.9261,56680.22672,43.9693,-69.6297,109,Edgecomb,99,2,0,0,8,5,0,0,0,0,0,0,0,20,0,0,4,1,0,21,5,0,33,0,0,0
77.9283,86955.43309,43.865,-69.6307,110,Boothbay,307,2,0,0,8,30,0,0,0,0,0,0,4,39,0,0,34,34,0,52,9,0,95,0,0,0
99.0656,50707.07018,44.44,-69.04,111,Belfast,289,10,0,0,19,68,0,4,0,0,0,1,38,25,0,0,24,13,8,4,1,0,74,0,0,0
148.561,50273.05208,44.42,-70.19,112,Livermore,201,6,0,2,57,14,0,0,0,0,0,3,3,61,0,4,15,9,2,8,5,0,12,0,0,0
167.51,56843.19226,44.28,-70.51,113,Paris,50,1,0,0,15,5,0,0,0,0,0,0,0,9,0,0,6,0,0,3,1,0,10,0,0,0
80.7845,42178.76697,44.8277,-70.6042,114,Twp. E,194,0,0,0,33,44,0,0,0,0,0,0,0,2,0,0,17,0,8,2,0,0,88,0,0,0
119.142,44844.27124,43.969,-70.2812,115,New Glouc,246,10,0,4,40,28,0,0,0,0,0,2,7,82,0,3,39,1,0,7,1,0,22,0,0,0
193.002,67767.20567,43.96,-70.48,116,Raymond,64,1,0,0,12,9,0,0,0,0,0,0,0,16,0,1,9,4,0,10,2,0,0,0,0,0
105.51,43415.37254,44.039,-70.397,117,Poland _B,90,4,0,0,6,5,0,0,0,0,0,0,0,1,0,1,8,33,0,22,9,0,1,0,0,0
99.8609,41245.35416,44.068,-70.305,118,Bakerstow,222,3,0,1,63,4,0,0,0,0,0,1,5,32,0,0,43,13,0,27,2,0,28,0,0,0
79.8373,40365.98906,44.22,-69.29,119,Union _St,50,3,0,0,8,1,0,0,0,0,0,0,0,9,0,0,11,8,0,2,2,0,6,0,0,0
112.893,42787.04285,44.97,-72.76,120,Berkshire,112,3,0,5,49,10,0,0,0,0,0,0,0,17,0,3,20,0,0,0,0,0,5,0,0,0
91.3472,38364.37505,44.9683,-72.485,121,JayVT,135,1,0,0,46,10,0,1,0,0,0,1,5,16,0,0,12,0,0,1,0,0,42,0,0,0
129.694,71421.48047,44.882,-73.09,122,Swanton,361,27,0,12,91,31,0,12,0,0,0,8,8,106,0,24,38,0,4,0,0,0,0,0,0,0
99.8712,40049.65996,44.9583,-71.6983,123,Averill,114,0,0,0,3,20,0,0,0,0,0,0,22,1,0,0,8,0,0,0,0,0,60,0,0,0
88.8962,42081.20879,44.8933,-71.5767,124,Lemington,91,0,0,0,14,34,0,0,0,0,0,0,9,0,0,0,5,0,1,0,0,0,28,0,0,0
179.774,63530.85329,44.81,-72.92,125,Fairfield,110,2,0,4,46,13,0,1,0,0,0,3,1,17,0,2,18,1,0,1,0,0,1,0,0,0
104.747,41282.22748,44.81,-72.2833,126,Irasburg,184,2,0,3,40,20,0,2,0,0,0,1,16,23,0,6,35,0,0,0,0,0,36,0,0,0
98.6566,39551.60509,44.7617,-72.0167,127,Westmore,120,3,0,0,50,20,0,0,0,0,0,0,9,1,0,0,11,0,2,0,0,0,24,0,0,0
103.697,44325.06514,44.74,-73.1243,128,Georgia,178,7,0,6,77,8,0,2,0,0,0,8,0,25,1,3,31,2,0,7,1,0,0,0,0,0
97.2028,39404.86361,44.7067,-71.9267,129,Newark,69,0,0,0,23,5,0,3,0,0,0,0,3,1,0,1,9,0,1,0,0,0,23,0,0,0
101.744,46256.01418,44.6583,-72.0433,130,Sutton,87,2,0,0,26,3,0,4,0,0,0,2,8,5,0,0,18,0,0,0,0,0,18,0,1,0
136.297,52294.08848,44.642,-73.123,131,Milton,412,21,0,14,163,13,0,5,1,0,0,15,0,35,0,20,74,10,3,29,1,0,4,0,0,4
97.5429,39534.16206,44.6517,-71.83,132,East Have,138,0,0,0,20,19,0,0,0,0,0,0,24,3,0,0,9,0,5,0,0,0,58,0,0,0
104.338,40854.60913,44.54,-72.007,133,Lyndon,72,3,0,4,19,10,0,1,0,0,0,0,8,9,0,0,15,0,0,0,0,0,3,0,0,0
102.782,40613.84847,44.4967,-72.5133,134,Elmore,448,3,0,4,106,87,0,0,0,0,0,0,20,46,0,1,46,0,0,0,1,0,126,0,8,0
95.4262,40427.89945,44.44,-72.0033,135,St. Johns,90,2,0,0,34,5,0,1,0,0,0,1,3,19,0,0,19,0,1,0,1,0,4,0,0,0
99.5731,42488.87151,44.3804,-71.9617,136,Waterford,62,2,0,0,19,3,0,0,0,0,0,0,3,9,0,4,3,2,0,5,0,0,12,0,0,0
100.18,39957.12592,44.37,-72.4633,137,Calais co,167,3,0,1,51,13,0,0,0,0,0,10,2,26,0,1,36,0,0,0,0,0,23,0,0,1
114.519,50615.73882,44.325,-72.079,138,Barnet,121,6,0,0,43,8,0,3,1,0,0,2,4,20,0,3,16,0,0,9,0,0,6,0,0,0
111.702,44129.86852,44.3,-72.37,139,Marshfiel,76,1,0,1,20,9,0,1,0,0,0,0,7,8,0,1,12,0,0,0,0,0,16,0,0,0
109.054,42101.57926,44.3067,-72.82,140,Duxbury,228,1,0,1,98,30,0,0,2,0,0,0,5,18,0,3,18,0,6,0,0,0,44,1,0,1
107.099,49995.41887,44.3111,-73.228,141,Charlotte,274,13,0,13,120,9,0,0,0,0,0,2,0,27,0,16,48,6,0,18,2,0,0,0,0,0
117.113,51211.04932,44.24,-73.02,142,Starksbor,81,0,0,0,29,2,0,1,1,0,0,1,0,9,0,1,16,0,1,0,1,0,19,0,0,0
97.0571,43560.88631,44.226,-72.115,143,Ryegate c,591,6,0,12,259,26,0,5,0,0,0,2,5,112,0,2,88,2,0,14,1,0,57,0,0,0
89.536,42645.80376,44.21,-72.61,144,Berlin,98,1,0,1,34,1,0,2,0,0,0,2,0,22,0,4,17,0,1,0,0,0,12,0,0,1
166.962,59282.72032,44.114,-72.127,145,Newbury,309,6,0,8,84,22,0,1,1,0,0,3,9,77,1,0,32,26,0,30,1,0,6,0,0,2
104.417,41260.74369,44.11,-72.54,146,Williamst,57,1,0,1,21,3,0,0,0,0,0,0,2,11,0,2,14,1,0,0,0,0,1,0,0,0
112.233,47062.82937,44.077,-73.335,147,Addison,147,9,0,1,47,0,0,1,1,0,0,6,0,7,1,5,32,17,1,15,4,0,0,0,0,0
126.378,45223.25752,44.0383,-71.8767,148,Benton,159,2,0,0,46,43,0,0,0,0,0,0,6,4,0,1,20,0,0,0,0,0,37,0,0,0
46.0363,30027.45478,44.0405,-73.225,149,Weybridge,304,31,0,23,97,11,0,3,0,0,0,6,0,33,2,23,29,13,0,33,0,0,0,0,0,0
122.397,44537.31514,44.0396,-72.299,150,Corinth,250,8,0,7,90,29,0,0,0,0,0,1,13,33,0,6,50,0,0,0,0,0,13,0,0,0
108.622,43562.55229,44.034,-72.589,151,Brookfiel,93,8,0,2,38,6,0,0,1,0,0,4,0,4,0,3,23,0,0,0,0,0,2,0,0,2
103.649,41690.39527,44.0068,-73.1165,152,Middlebur,170,5,0,4,52,4,0,0,1,0,0,9,0,33,0,14,30,5,3,5,1,0,4,0,0,0
79.1661,44295.1576,44.014,-72.165,153,Bradford,100,4,0,1,35,8,0,0,0,0,0,0,0,27,0,0,20,1,0,3,0,0,1,0,0,0
113.695,44645.25401,43.984,-73.339,154,Bridport,139,7,0,6,43,13,0,0,0,0,0,1,0,5,3,8,28,15,0,8,2,0,0,0,0,0
73.6782,36572.39205,43.972,-73.213,155,Cornwall,598,47,0,25,225,18,0,9,0,0,0,34,0,92,7,25,81,3,0,30,0,0,1,0,0,1
125.537,45072.36052,43.952,-72.623,156,Randolph,86,3,0,4,20,8,0,0,0,0,0,0,0,18,0,1,25,0,1,0,0,0,6,0,0,0
99.887,48125.6586,43.92,-72.91,157,Hancock,258,4,0,0,114,34,0,0,1,0,0,0,5,5,0,1,31,0,5,0,0,0,58,0,0,0
73.7833,36953.07631,43.92,-73.12,158,Salisbury,333,34,0,12,87,18,0,11,0,0,0,11,0,42,2,21,50,16,1,21,0,0,4,0,1,2
114.955,43027.1001,43.901,-72.4875,159,Tunbridge,148,2,0,3,50,14,0,0,0,0,0,1,0,36,0,0,40,0,0,0,0,0,1,0,0,1
110.883,46314.72874,43.88,-73.3067,160,Shoreham,516,21,0,10,176,13,0,14,0,0,0,4,0,18,7,49,107,42,0,44,11,0,0,0,0,0
123.515,46398.37392,43.905,-72.0817,161,Orford,145,4,0,2,43,12,0,0,0,0,0,0,1,27,0,4,17,1,0,2,5,0,26,0,0,1
